Kuby 8e Detailed TOC,"Updated Detailed TOC (Ch 4, 13, 14, 17, 18, 20 only)
",Updates,
○ Innate Immune Cells Are Activated by Antigen Binding to Pattern Recognition Receptors,○ Innate Immune Cells Are Activated by Antigen Binding to Pattern Recognition Receptors,Expanded discussion of the movement and activity of innate immune cells,
○ Antigen Travels in Two Different Forms to Secondary Lymphoid Tissue via Afferent Lymphatics,○ Antigen Travels in Two Different Forms to Secondary Lymphoid Tissue via Afferent Lymphatics,,
○ Antigen-Presenting Cells Presenting Processed Antigen Travel to the T-Cell Zones of Secondary Lymphoid Tissue,○ Antigen-Presenting Cells Presenting Processed Antigen Travel to the T-Cell Zones of Secondary Lymphoid Tissue,,
○ Unprocessed Antigen Travels to the B-Cell Zones,○ Unprocessed Antigen Travels to the B-Cell Zones,,
○ Blood-Borne Antigen Is Captured by Specialized APCs at the Marginal Zone of the Spleen,,Merged with the section above.,
● First Contact between Antigen and Lymphocytes,● First Contact between Antigen and Lymphocytes,Development of memory and contraction moved to next A-head,
○ Naïve CD4+ T Cells Arrest Their Movements after Engaging Antigens,○ Naïve CD4+ T Cells Arrest Their Movements after Engaging Antigens,,
○ B Cells Seek Help from CD4+ T Cells at the Border between the Follicle and Paracortex of the Lymph Node,○ B Cells Seek Help from CD4+ T Cells at the Border between the Follicle and Paracortex of the Lymph Node,,
○ Dynamic Imaging Adds New Perspectives on B- and T-Cell Behavior in Germinal Centers,○ B- and T-Cells Behave Differently in Germinal Centers,Heading change,
○ CD8+ T Cells Are Activated in the Lymph Node via a Multicellular Interaction,○ CD8+ T Cells Are Activated in the Lymph Node via a Multicellular Interaction,,
○ A Summary of the Timing of a Primary Response,○ A Summary of the Timing of a Primary Response,,
○ Differentiation into Central Memory T Cells Begins Early in the Primary Response,○ Differentiation into Central Memory T Cells Begins Early in the Primary Response,,
● The Effector and Memory Cell Response,● The Effector and Memory Cell Responses in the Periphery,"Reorganization of content tells a clearer story of pathogen clearance, contraction, and the activity of memory cells following an immune response",
○ Chemokine Receptors and Adhesion Molecules Regulate Homing of Memory and Effector Lymphocytes to Peripheral Tissues,○ Chemokine Receptors and Adhesion Molecules Regulate Homing of Memory and Effector Lymphocytes to Peripheral Tissues,Revised Figure 14-21,
○ Activated Lymphocytes Exit the Lymph Node and Recirculate through Different Tissues,○ Both Effector and Memory Lymphocytes Contribute to Clearance of Infection in Tissues,,
○ The Immune Response Contracts within 10 to 14 Days,○ The Immune Response Contracts after Two to Four Weeks,,
,○ Memory Cells Position Themselves to Mount a Secondary Response to Re-infection,Revised Figure 14-20,
● The Immune Response: Case Studies,,Case studies moved to online content,
○ CD8+ T-Cell Response to Infection with Toxoplasma gondii,,,
○ Resident Memory T-Cell Response to Herpes Simplex Virus Infection,,,
○ Host Immune Cell Response to a Tissue Graft,,,
○ Dendritic Cell Contribution to Listeria Infection,,,
○ T-Cell Response to Tumors,,,
○ Regulatory T-Cells Play Multiple Roles in the Immune Response,,,
● Conclusion,,,
● References,,,
● Study Questions,,New Analyze the Data question,
,,,
"Chapter 15: Allergy, Hypersensitivities, and Chronic Inflammation",,,
● Allergies: Type I Hypersensitivity,,,
○ IgE Antibodies Are Responsible for Type I Hypersensitivity,,,
○ Many Allergens Can Elicit a Type I Response,,,
"○ IgE Antibodies Act by Binding Antigen, Resulting In the Cross-Linking of Fce Receptors",,,
○ IgE Receptor Signaling Is Tightly Regulated,,,
○ Granulocytes Produce Molecules Responsible for Type I Hypersensitivity Symptoms,,,
○ Type I Hypersensitivities Are Characterized by both Early and Late Responses,,,
○ There Are Several Categories of Type I Hypersensitivity Reactions,,,
○ Susceptibility to Type I Hypersensitivity Reactions Is Influenced by Both Environmental Factors and Genetics,,,
○ Diagnostic Tests and Treatments Are Available for Allergic Reactions,,,
○ Why Did Allergic Responses Evolve?,,,
● Antibody-Mediated (Type II) Hypersensitivity,,,
○ Transfusion Reactions Are an Example of Type II Hypersensitivity,,,
○ Hemolytic Disease of the Newborn Is Caused by Type II Reactions,,,
○ Hemolytic Anemia Can Be Drug Induced,,,
● Immune Complex–Mediated (Type III) Hypersensitivity,,,
○ Immune Complexes Can Damage Various Tissues,,,
○ Immune Complex–Mediated Hypersensitivity Can Resolve Spontaneously,,,
○ Auto-Antigens Can Be Involved in Immune Complex–Mediated Reactions,,,
○ Arthus Reactions Are Localized Type III Hypersensitivity Reactions,,,
● Delayed-Type (Type IV) Hypersensitivity,,,
○ The Initiation of a Type IV DTH Response Involves Sensitization by Antigen,,,
○ The Effector Phase of a Classical DTH Response Is Induced by Second Exposure to a Sensitizing Antigen,,,
○ The DTH Reaction Can Be Detected by a Skin Test,,,
○ Contact Dermatitis Is a Type IV Hypersensitivity Response,,,
● Chronic Inflammation,,,
○ Infections Can Cause Chronic Inflammation,,,
○ There Are Noninfectious Causes of Chronic Inflammation,,,
○ Obesity Is Associated with Chronic Inflammation,,,
○ Chronic Inflammation Can Cause Systemic Disease,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
"Chapter 16: Tolerance, Autoimmunity, and Transplantation",,,
● Establishment and Maintenance of Tolerance,,,
○ Antigen Sequestration Is One Means to Protect Self Antigens from Attack,,,
○ Central Tolerance Processes Occur in Primary Lymphoid Organs,,,
○ Cells That Mediate Peripheral Tolerance Are Generated outside Primary Lymphoid Organs,,,
○ Regulatory Immune Cells Work in the Periphery to Inhibit Anti-Self Responses,,,
● Autoimmunity,,,
○ Some Autoimmune Diseases Target Specific Organs,,,
○ Some Autoimmune Diseases Are Systemic,,,
○ Both Intrinsic and Extrinsic Factors Can Favor Susceptibility to Autoimmune Disease,,,
○ What Causes Autoimmunity?,,,
○ Treatments for Autoimmune Disease Range from General Immune Suppression to Targeted Immunotherapy,,,
● Transplantation Immunology,,,
"○ Demand for Transplants Is High, But Organ Supplies Remain Low",,,
○ Antigenic Similarity between Donor and Recipient Improves Transplant Success,,,
○ Some Organs Are More Amenable to Transplantation Than Others,,,
○ Matching Donor and Recipient Involves Prior Assessment of Histocompatibility,,,
○ Allograft Rejection Follows the Rules of Immune Specificity and Memory,,,
○ Graft Rejection Takes a Predictable Clinical Course,,,
○ Immunosuppressive Therapy Can Be Either General or Target-Specific,,,
○ Immune Tolerance to Allografts Is Favored in Certain Instances,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 17: Infectious Diseases and Vaccines,Chapter 17: Infectious Disease and Public Health,"Chapter split and expanded into two: 17 and 18
Chapter 17 adds public health topics, clarifies type 1, 2, and 3 responses, adds considerable discussion of SARS CoV-2, and adds three new feature Boxes. Chapter retains discussion of the four types of pathogen the responses they elicit, but moves most related case studies to digital content.",
● The Importance of Barriers and Vectors in Infectious Disease,● The Chain of Infection,"New section expands on the patterns of infection, specifically reservoirs, modes of transmission (portals of entry, sexual transmission, fomites, vectors, etc.), and portals of entry, including variability in host susceptibility.
New Clinical Focus Box 17-1: Cytokine Storms and Inflammatory Syndromes Related to Virus Infection
Clinical Focus 17-1 on Zika virus deleted? Confirm this.",
,○ Infectious Agents Reside in Reservoirs,,
,○ Infection Can Occur via Various Modes of Transmission,,"DEI update: Includes description of the Tuskegee study and a similar study in Guatemala, including ethics violations and the resulting legislation passed to prevent further violations."
,○ Successful Infection Requires a Susceptible Host,,
,● Factors Contributing to Human Infectious Disease Patterns,"New section cites SARS CoV-2 and other examples of emerging and reemerging diseases in expanded and new discussions of how diseases emerge, how human activity affects emergence, and how human behavior (including public health responses) mitigate or exacerbate the spread of infectious disease.
New Evolution Box 17-2: Where do Coronaviruses Come From?
New Clinical Focus Box 17-3: Herd Immunity and the Moving Target of R0",
,○ Emerging and Reemerging Infectious Diseases Are on the Rise,,DEI update: Recognition of Congolese Dr. Muyembe's role in discovering and isolating the Ebola virus.
,○ Zoonotic Infections Arise from Contact with Animals,,
,○ Anthropogenic Factors Contribute to the Emergence and Spread of Infectious Disease,,
,○ Public Health Infrastructure Can Help Identify and Respond to Infectious Outbreaks,,
,"○ Human Nature, History, and Culture Also Play a Role",,DEI update: Recognizes cultural and infrastructure factors that lead to inequality in access to medical care.
,"● The Link Between Timing, Location, and Immune Effector Mechanisms","Revised section aligns pathogen types with Type 1, 2, or 3 immune responses and adds trained immunity and sepsis/septic shock.",
,○ Earlier Infectious Exposures May Influence Subsequent Innate Responses to a Different Infectious Agent,,
,○ Infections that Remain at Barrier Surfaces are Typically Controlled by Type 2 Responses,,
,○ Extracellular Pathogens are Targeted by Extracellular Tools and Type 3 Responses,,
,○ Type 1 Responses Dominate During Intracellular Infections,,
,○ Systemic Inflammatory Responses Can Be Life-Threatening,,
● Viral Infections,● Viral Infections,Clinical Focus 17-2 on Tuberculosis moved to digital content,
○ The Antiviral Innate Response Provides Key Instructions for the Later Adaptive Response,○ The Antiviral Innate Response Provides Key Instructions for the Later Adaptive Response,,
○ Many Viruses Are Neutralized by Antibodies,○ Many Viruses Are Neutralized by Antibodies,"Added discussion of antibodies at mucosal sites, oral polio vaccine, and SARS-CoV-2 vaccine antibody responses",
○ Cell-Mediated Immunity Is Important for Viral Control and Clearance,○ Cell-Mediated Immunity Is Important for Viral Control and Clearance,,
○ Viruses Employ Several Different Strategies to Evade Host Defense Mechanisms,○ Viruses Employ Several Different Strategies to Evade Host Defense Mechanisms,Retains Clinical Focus Box 17-4 (previously 17-3) on Influenza,
○ The Imprinting of a Memory Response Can Influence Susceptibility to Future Viral Infection,○ The Imprinting of a Memory Response Can Influence Susceptibility to Future Viral Infection,,
● Bacterial Infections,● Bacterial Infections,,
○ Immune Responses to Extracellular and Intracellular Bacteria Can Differ,○ Immune Responses to Extracellular and Intracellular Bacteria Can Differ,,
○ Bacteria Can Evade Host Defense Mechanisms at Several Different Stages,○ Bacteria Can Evade Host Defense Mechanisms at Several Different Stages,,
● Parasitic Infections,● Parasitic Infections,,
○ Protozoan Parasites Are a Diverse Set of Unicellular Eukaryotes,○ Protozoan Parasites Are a Diverse Set of Unicellular Eukaryotes,Clinical Focus Box 17-4 on Trypanosomes moved to digital content,
○ Parasitic Worms (Helminths) Typically Generate Weak Immune Responses,○ Parasitic Worms (Helminths) Typically Generate Weak Immune Responses,,
● Fungal Infections,● Fungal Infections,,
○ Innate Immunity Controls Most Fungal Infections,○ Innate Immunity Controls Most Fungal Infections,,
○ Immunity against Fungal Pathogens Can Be Acquired,○ Immunity against Fungal Pathogens Can Be Acquired,,
● Emerging and Re-emerging Infectious Diseases,,"Moved up and expanded, now above pathogen sections.",
○ Some Noteworthy New Infectious Diseases Have Appeared Recently,,,
○ Diseases May Re-emerge for Various Reasons,,,
● Conclusion,,Heavily revised to reflect new content,
● References,,,
● Study Questions,,,
,,,
,,,
,,,
,,,
,Chapter 18: Immunization and Vaccines,"New Chapter 18 greatly expands on the rationale and approaches used in vaccine design, using multiple examples of existing vaccines, including against COVID-19, and increasing coverage of early research approaches, additives, delivery methods, testing and approval, and logistics.",
● Vaccines,,Introduction provides an overview of the history and importance of vaccination.,
○ Protective Immunity Can Be Achieved by Active or Passive Immunization,● Passive versus Active Immunity,"C-heads promoted to B-heads, mostly pickup but updated with convalescent plasma and monoclonal antibodies for passive immunity, including for COVID-19. ",
,○ Passive Immunity is Temporary and Enacted by Preformed Antibodies,,
,○ Active Immunization Stimulates Immune Cells and Generates Memory Responses,,
○ Basic Research and Rational Design Advance Vaccine Development,● Vaccine Research and Design Principles,"Sections on vaccine research and basic design expanded and updated, including using COVID-19 vaccine development as an example. Correlates of protection expanded with examples. Two new sections on regulation (testing and FDA approval process) and logistics of vaccine design and delivery (storage, vaccination campaigns, socio-cultural factors, etc.)",
,○ Years of Basic Research Precede Each New Vaccine,,
,○ Vaccine Design Begins with Defining Immune Correlates of Protection,,
,○ Vaccines are Tightly Regulated and Monitored,,
,○ Immunization Programs Must Consider the Human Context,,
"○ There Are Several Vaccine Strategies, Each with Unique Advantages and Challenges",● Vaccine Formulations,"C-heads promoted to B-heads and expanded with new figures and examples of each, including advantages and disadvantages.",
,○ Whole Pathogen Vaccines Contain Live or Killed Microbial Cells,,
,○ Subunit Vaccines Include Only Parts of the Pathogen,,
,○ Particle- or Membrane-based Vaccines Include an Outer Envelope,,
,○ Vectored Vaccines Replicate Without the Risk of Reversion,,
,○ Nucleic Acid Vaccines Provide Instructions for Making Pathogen-Associated Proteins,,
○ Adding a Conjugate or Multivalent Component Can Improve Vaccine Immunogenicity,,Content integrated into above sections,
○ Adjuvants Are Included to Enhance the Immune Response to a Vaccine,"● Vaccine Adjuvants, Schedules, and Delivery Methods",Discussion of adjuvants expanded including a table of common adjuvants. Two new sections discuss the rational behind boosters and sites of delivery in the context of vaccine design and targeted infectious disease.,
,○ Adjuvants Increase Vaccine Effectiveness by Activating Innate Response Elements,,
,○ Full Immune Protection May Require Multiple Exposures or Boosters,,
,○ Several Novel Vaccine Delivery Methods are Under Investigation,,
● Conclusion,,Heavily revised to reflect new content,
● References,,,
● Study Questions,,,
,,,
Chapter 18: Immunodeficiency Diseases,Chapter 19: Immunodeficiency Diseases,Now Chapter 19,
● Primary Immunodeficiencies,,,
○ Primary Immunodeficiency Diseases Are Often Detected Early in Life,,,
○ Combined Immunodeficiencies Disrupt Adaptive Immunity,,,
○ Disruptions to Innate Immune Components May Also Impact Adaptive Responses,,,
○ Complement Deficiencies Are Relatively Common,,,
○ NK-Cell Deficiencies Increase Susceptibility to Viral Infections and Cancer,,,
○ Immunodeficiency Disorders Are Treated by Replacement Therapy,,,
○ Animal Models of Immunodeficiency Have Been Used to Study Basic Immune Function,,,
● Secondary Immunodeficiencies,,,
○ Secondary Immunodeficiencies May Be Caused by a Variety of Factors,,,
○ HIV/AIDS Has Claimed Millions of Lives Worldwide,,Infection rates data updated,
○ The Retrovirus HIV-1 Is the Causative Agent of AIDS,,,
○ HIV-1 Is Spread by Intimate Contact with Infected Body Fluids,,,
○ In Vitro Studies Have Revealed the Structure and Life Cycle of HIV,,,
○ Infection with HIV Leads to Gradual Impairment of Immune Function,,,
○ Changes over Time Lead to Progression to AIDS,,,
○ A Vaccine May Be the Only Way to Stop the HIV/AIDS Pandemic,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 19: Cancer and the Immune System,Chapter 20: Cancer and the Immune System,"Now Chapter 20
Reduced background on cancer types and how cancers form; background now focuses on the immune system's role in cancer formation.
Added advances in anticancer immunotherapies: BiTEs and oncolytic viruses.",
● Terminology and the Formation of Cancer,● Cancer Background,Reduced background on cancer throughout this section as described below.,
○ Accumulated DNA Alterations or Translocation Can Induce Cancer,○ Cancer Arises from Progressive DNA Changes in a Wildtype Self Cell,"Removed discussion of cancer types and their names (carcinomas, sarcomas) and causes of transformation. This section combines the remaining content that previously appeared in this B-head and the preceding A-head introduction.",
○ Genes Associated with Cancer Control Cell Proliferation and Survival,○ Genes Associated with Cancer Control Cell Proliferation and Survival,"Removed C-heads elaborating on oncogenes, tumor-suppressor genes, and apoptosis genes, removed Table 19-2 and Figure 19-2.",
,○ Blood-Cell Cancers Arise from Various Stages of Hematopoietic Stem Cell Development,"New section contains previous introduction to lymphomas, myelomas, and leukemias, and how they arise.",
○ Malignant Transformation Involves Multiple Steps,○ Several Key Characteristics or Hallmarks Define all Cancers,"Removed discussion of the stages of malignant transformation (and Figure 19-3) from this section, leaving the discussion of cancer hallmarks.",
● Tumor Antigens,○ Expression of Distinct Antigens in Cancer Cells Can Aid Detection and Eradication,"Heading level demoted to B-head
Clinical Focus Box 20-1 (HPV vaccine) updated ",
○ Tumor-Specific Antigens Contain Unique Sequences,,Now a C-head,
○ Tumor-Associated Antigens Are Normal Cellular Proteins with Unique Expression Patterns,,Now a C-head,
● The Immune Response to Cancer,● The Immune Response to Cancer,,
○ Immunoediting Can Both Protect against and Promote Tumor Growth,○ Heading TBD,Minor changes to improve clarity,
○ Innate and Adaptive Pathways Participate in Cancer Detection and Eradication,○ Innate and Adaptive Pathways Participate in Cancer Detection and Eradication,Added a paragraph about ILCs,
○ Some Immune Response Elements Can Promote Cancer Survival,○ Some Immune Response Elements Can Promote Cancer Survival,Added one or more figures depicting how inflammation and anti-tumor antibodies promote cancer,
○ Tumor Cells Evolve to Evade Immune Recognition and Apoptosis,○ Tumor Cells Evolve to Evade Immune Recognition and Apoptosis,Removed Figure 20-7?,
● Anticancer Immunotherapies,● Anticancer Immunotherapies,Two paragraphs moved into their own A-head below.,
,○ Early Observations and Attempts at Immune-Based Cancer Treatment,New heading for a short section that was previously part of the introductory text above.,
,○ Cancer Immunoscores Can Help Clinicians Evaluate Therapeutic Next Steps,New section introducing immunoscores,
○ Monoclonal Antibodies Can Be Used to Direct the Immune Response to Tumor Cells,○ Antibodies Can Be Used to Direct the Immune Response to Tumor Cells,"Updated Table 20-3; added paragraph about bispecific and trispecific antibodies, BiTEs.",
,○ The Immune Checkpoint Blockade Allows Manipulation of Comodulatory Signals,"Section moved up, updated discussion of immune checkpoint inhibitors",
"○ Tumor-Specific T Cells Can Be Expanded, or Even Created",○ Heading TBD,New type of CAR T cell added to Clinical Focus Box 19-2,
○ Therapeutic Vaccines May Enhance the Antitumor Immune Response,○ Heading TBD,Updated current status of research on therapeutic vaccines,
"○ Manipulation of Comodulatory Signals, Using Checkpoint Blockade",,Section moved up,
,○ Oncolytic Viruses Heading TBD,New,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 20: Experimental Systems and Methods,,Chapter converted to Appendix E,
● Antibody Generation,,,
○ Polyclonal Antibodies Are Secreted by Multiple Clones of Antigen-Specific B Cells,,"May reduce discussion of adjuvants and instead refer to Chapter 18
May add several terms to glossary",
○ A Monoclonal Antibody Is the Product of a Single Stimulated B Cell,,,
○ Monoclonal Antibodies Can Be Modified for Use in the Laboratory or the Clinic,,"Removed paragraph about abzymes
Removed sentence about T-cell hybrids not being useful",
● Immunoprecipitation- and Agglutination-Based Techniques,,,
○ Immunoprecipitation Can Be Performed in Solution,,Removed reference to Kabat immunoprecipitation,
○ Immunoprecipitation of Soluble Antigens Can Be Performed in Gel Matrices,,,
○ Immunoprecipitation Enables Isolation of Specific Molecules from Cell and Tissue Extracts,,,
○ Hemagglutination Reactions Can Be Used to Detect Any Antigen Conjugated to the Surface of Red Blood Cells,,,
○ Hemagglutination Inhibition Reactions Are Used to Detect the Presence of Viruses and of Antiviral Antibodies,,,
○ Bacterial Agglutination Can Be Used to Detect Antibodies to Bacteria,,,
● Antibody Assays Based on Molecules Bound to Solid-Phase Supports,,,
○ Radioimmunoassays Are Used to Measure the Concentrations of Biologically Relevant Proteins and Hormones in Body Fluids,,,
○ ELISAs Use Antibodies or Antigens Covalently Bound to Enzymes,,,
○ ELISPOT Assays Measure Molecules Secreted by Individual Cells,,,
○ Western Blotting Is an Assay That Can Identify a Specific Protein in a Complex Protein Mixture,,,
● Methods to Determine the Affinity of Antigen-Antibody Interactions,,,
○ Equilibrium Dialysis Can Be Used to Measure Antibody Affinity for Antigen,,,
○ Surface Plasmon Resonance Is Now Commonly Used for Measurements of Antibody Affinity,,,
● Antibody-Mediated Microscopic Visualization of Cells and Subcellular Structures,,,
○ Immunocytochemistry and Immunohistochemistry Use Enzyme-Conjugated Antibodies to Create Images of Fixed Tissues,,,
○ Immunoelectron Microscopy Uses Gold Beads to Visualize Antibody-Bound Antigens,,,
● Immunofluorescence-Based Imaging Techniques,,Removed Box 20-1; text is condensed and added to section on intravital imaging,
○ Fluorescence Can Be Used to Visualize Cells and Molecules,,,
○ Confocal Fluorescence Microscopy Provides Three-Dimensional Images of Extraordinary Clarity,,,
○ Confocal Fluorescence Microscopy Provides Three-Dimensional Images of Extraordinary Clarity,,,
○ Intravital Imaging Allows Observation of Immune Responses in Vivo,,Now includes condensed content from Advances Box 20-1,
○ Visualization and Analysis of DNA Sequences in Intact Chromatin,,,
● Flow Cytometry and Cell Sorting,,"Streamlined introduction, considerable updates to technology throughout",
○ The Flow Cytometer Measures Scattered and Fluorescent Light from Cells Flowing Past a Laser Beam,,Removed Advances Box 20-2; content is streamlined and integrated into main text.,
○ Sophisticated Software Allows the Investigator to Identify Individual Cell Populations within the Sample,,,
○ Flow Cytometers and Fluorescence-Activated Cell Sorters Have Important Clinical Applications,,I suggest moving this content to the section intro,
○ The Analysis of Multicolor Fluorescence Data Has Required the Development of Increasingly Sophisticated Software,,I suggest merging this section with the one above (sophisticated software),
○ CyTOF Uses Antibodies to Harness the Power of Mass Spectrometry,,,
"○ Magnets Can Be Used in a Gentle, Sterile Method for Sorting Cells",,,
● Cell Cycle Analysis,,,
○ Tritiated Thymidine Uptake Was One of the First Methods Used to Assess Cell Division,,Cut,
○ Colorimetric Assays for Cell Division Are Rapid and Eliminate the Use of Radioactive Isotopes,,,
○ Bromodeoxyuridine-Based Assays for Cell Division Use Antibodies to Detect Newly Synthesized DNA,,,
○ Propidium Iodide Enables Analysis of the Cell Cycle Status of Cell Populations,,,
○ Carboxyfluorescein Succinimidyl Ester Can Be Used to Follow Cell Division,,,
● Assays of Cell Death,,,
○ The 51Cr Release Assay Was the First Assay Used to Measure Cell Death,,,
○ Fluorescently Labeled Annexin A5 Measures Phosphatidylserine in the Outer Lipid Envelope of Apoptotic Cells,,,
○ The TUNEL Assay Measures Apoptotically Generated DNA Fragmentation,,,
○ Caspase Assays Measure the Activity of Enzymes Involved in Apoptosis,,,
● Analysis of Chromatin Structure,,,
○ Chromatin Immune-Precipitation (ChIP) Experiments Characterize Protein:DNA Interactions,,,
○ Chromosome Conformation Capture (3C) Technologies Analyze Long-Range Chromosomal DNA Interactions,,,
,○ ATAC Sequencing Assesses which Chromatin Locations Are Accessible for Transcription,New,
● CRISPR-Cas9,● Molecular Biology Approaches to Immunology,"Previously just CRISPR-Cas9, this section has been expanded to include high-throughput sequencing techniques.",
,○ Next-Generation Sequencing,,
,"○ Next, Next-Generation Sequencing",,
,○ RNA Sequencing (RNA-seq),,
,○ CRISPR-Cas9,,
,● Public Health Techniques,"New section introduces tests for infectious disease, many developed in response to the COVID-19 pandemic.",
,○ Tests for Viral Nucleic Acids,"Section is divided into PCR-based tests (RT-PCR and PCR amplification, quantitative PCR, and LAMP PCR) and CRISPR-based readouts.",
,○ Tests for Viral Proteins,Section describes how the sandwich ELISA has been adapted in commerically-available rapid antigen test kits.,
,○ Tests for Evidence of a Prior Infection: Measurement of Antiviral Antibodies,Section describes how an indirect ELISA is used to quantify antiviral antibodies in patient serum,
● Whole-Animal Experimental Systems,,,
○ Animal Research Is Subject to Federal Guidelines That Protect Nonhuman Research Subjects,,,
○ Inbred Strains Reduce Experimental Variation,,,
○ Congenic strains Are Used to Study the Effects of Particular Gene Loci on Immune Responses,,,
○ Adoptive Transfer Experiments Allow in Vivo Examination of Isolated Cell Populations,,,
○ Transgenic Animals Carry Genes That Have Been Artificially Introduced,,,
○ Knock-in and Knockout Technologies Replace an Endogenous with a Nonfunctional or Engineered Gene Copy,,,
○ The Cre/lox System Enables Inducible Gene Deletion in Selected Tissues,,,
● Conclusion,,cut,
● References,,updated; relevant links integrated with the text,
● Study Questions,,cut,
,,,
Appendix I: CD Antigens,,Renamed Appendix A: CD Antigens,
Appendix II: Cytokines and Associated JAK-STAT Signaling Molecules,,"Renamed Appendix B: Cytokines
Table 3 moved to new Appendix D",
Appendix III: Chemokines and Chemokine Receptors,,Renamed Appendix C: Chemokines and Chemokine Receptors,
,,NEW Appendix D: Signal Transduction in the Immune System,
,,NEW Appendix E: Experimental Systems and Methods,
,,,
Glossary,,,
,,,
Answers to Study Questions,,,
,,,
Index,,,
